Cast Vote Record,Precinct,Ballot Style,1st Choice Council Member At Large Seat B City of Minnetonka,2nd Choice Council Member At Large Seat B City of Minnetonka,3rd Choice Council Member At Large Seat B City of Minnetonka
26827,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26828,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,,
26829,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,undervote,undervote,undervote
26830,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26831,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26832,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Jim Hadley,Stacy Cranbrook,Ash Patel
26833,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Jim Hadley,Stacy Cranbrook,Ash Patel
26834,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26835,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26836,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26837,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26838,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Jim Hadley,Ash Patel
26839,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Stacy Cranbrook,undervote,undervote
26840,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26841,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Daniel Kral,Ash Patel,Kimberly Wilburn
26842,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Daniel Kral,Ash Patel,Kimberly Wilburn
26843,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Jim Hadley,Ash Patel
26844,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Stacy Cranbrook,Jim Hadley,Kimberly Wilburn
26845,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
26846,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26847,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,undervote,undervote,undervote
26848,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26849,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,undervote
26850,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26851,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Ash Patel,Kimberly Wilburn,undervote
26852,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26853,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26854,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26855,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,undervote,undervote,undervote
26856,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26857,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Daniel Kral,Daniel Kral,Daniel Kral
26858,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Ash Patel,Stacy Cranbrook,Kimberly Wilburn
26859,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26860,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26861,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Daniel Kral,undervote,undervote
26862,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,undervote,undervote,undervote
26863,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,undervote,undervote,undervote
26864,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26865,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
26866,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
26867,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Daniel Kral,Jim Hadley,Ash Patel
26868,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26869,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26870,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26871,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26872,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,undervote,undervote
26873,MINNETONKA W-1 P-A,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,undervote
26874,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Stacy Cranbrook,overvote
26875,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Stacy Cranbrook,Kimberly Wilburn
26876,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Ash Patel,Kimberly Wilburn,undervote
26877,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26878,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
26879,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26880,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26881,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
26882,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Jim Hadley,undervote
26883,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
26884,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Jim Hadley,Kimberly Wilburn
26885,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Jim Hadley,Ash Patel
26886,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
26887,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
26888,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26889,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
26890,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,undervote,undervote,undervote
26891,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
26892,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,Daniel Kral
26893,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,Jim Hadley
26894,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Stacy Cranbrook,undervote,undervote
26895,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Daniel Kral,undervote
26896,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26897,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26898,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Ash Patel,undervote
26899,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Daniel Kral,Kimberly Wilburn,Stacy Cranbrook
26900,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Jim Hadley,Kimberly Wilburn,undervote
26901,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,undervote,undervote
26902,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Jim Hadley,undervote
26903,MINNETONKA W-1 P-B,MINNETONKA W-1 P-B,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26904,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,Ash Patel
26905,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Daniel Kral,undervote
26906,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,undervote,undervote
26907,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
26908,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Daniel Kral,Jim Hadley
26909,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Jim Hadley,undervote
26910,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Daniel Kral
26911,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
26912,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,undervote
26913,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,undervote,undervote
26914,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,undervote,undervote
26915,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,undervote,undervote
26916,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,undervote,undervote
26917,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
26918,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
26919,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,undervote
26920,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Daniel Kral,Kimberly Wilburn,Jim Hadley
26921,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,Stacy Cranbrook
26922,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
26923,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Stacy Cranbrook,Kimberly Wilburn
26924,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
26925,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Jim Hadley,undervote,undervote
26926,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26927,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Ash Patel,Kimberly Wilburn
26928,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
26929,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,Stacy Cranbrook
26930,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Stacy Cranbrook,Ash Patel,Daniel Kral
26931,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,undervote,undervote
26932,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Jim Hadley,Kimberly Wilburn
26933,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Ash Patel,Kimberly Wilburn,Jim Hadley
26934,MINNETONKA W-1 P-C,MINNETONKA W-1 P-C,Kimberly Wilburn,Jim Hadley,undervote
26935,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,Daniel Kral
26936,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Jim Hadley,Daniel Kral,Ash Patel
26937,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Stacy Cranbrook,Stacy Cranbrook,Stacy Cranbrook
26938,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,undervote
26939,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Daniel Kral,undervote
26940,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,undervote,undervote
26941,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,undervote,undervote
26942,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Stacy Cranbrook,Daniel Kral,Jim Hadley
26943,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,undervote
26944,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Stacy Cranbrook,Ash Patel
26945,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
26946,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,overvote,undervote,undervote
26947,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Ash Patel,Kimberly Wilburn,undervote
26948,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,undervote,undervote,undervote
26949,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,undervote,undervote,undervote
26950,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,undervote
26951,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,undervote,undervote
26952,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,undervote,undervote
26953,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Stacy Cranbrook,Kimberly Wilburn,Daniel Kral
26954,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26955,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral
26956,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Jim Hadley,Kimberly Wilburn,Stacy Cranbrook
26957,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,Kimberly Wilburn
26958,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,undervote,undervote,undervote
26959,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,undervote,undervote
26960,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,Daniel Kral
26961,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
26962,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Jim Hadley,Kimberly Wilburn,undervote
26963,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,undervote,undervote,undervote
26964,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,undervote
26965,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,undervote,undervote
26966,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,undervote,undervote
26967,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,Daniel Kral
26968,MINNETONKA W-1 P-E,MINNETONKA W-1 P-E,Kimberly Wilburn,Ash Patel,undervote
26969,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Jim Hadley,Stacy Cranbrook,Daniel Kral
26970,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Ash Patel,undervote
26971,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Stacy Cranbrook,Ash Patel
26972,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Stacy Cranbrook,undervote
26973,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
26974,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
26975,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Daniel Kral,Kimberly Wilburn,Stacy Cranbrook
26976,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
26977,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn
26978,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Ash Patel,undervote
26979,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,undervote,undervote,undervote
26980,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,undervote,undervote,undervote
26981,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Ash Patel,Stacy Cranbrook,Kimberly Wilburn
26982,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
26983,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
26984,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Stacy Cranbrook,Jim Hadley,Daniel Kral
26985,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Daniel Kral,Jim Hadley,Stacy Cranbrook
26986,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
26987,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
26988,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Stacy Cranbrook,Kimberly Wilburn,Ash Patel
26989,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Ash Patel,undervote
26990,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Ash Patel,Kimberly Wilburn,undervote
26991,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Ash Patel,Kimberly Wilburn,
26992,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Ash Patel,undervote
26993,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Daniel Kral,Ash Patel,Stacy Cranbrook
26994,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Ash Patel,undervote,undervote
26995,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Daniel Kral,Kimberly Wilburn,undervote
26996,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Daniel Kral,undervote,undervote
26997,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Ash Patel,undervote,Ash Patel
26998,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Jim Hadley,Kimberly Wilburn,Ash Patel
26999,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Stacy Cranbrook,Stacy Cranbrook,Stacy Cranbrook
27000,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,undervote,undervote,undervote
27001,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Daniel Kral,Kimberly Wilburn,undervote
27002,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Jim Hadley,Stacy Cranbrook,Ash Patel
27003,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
27004,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
27005,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Ash Patel,undervote
27006,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Jim Hadley,Ash Patel,Daniel Kral
27007,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Jim Hadley,Ash Patel,Daniel Kral
27008,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
27009,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
27010,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
27011,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
27012,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,Stacy Cranbrook,undervote
27013,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Ash Patel,Jim Hadley,Daniel Kral
27014,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
27015,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,undervote,undervote,undervote
27016,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,undervote,undervote,undervote
27017,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,undervote,undervote,undervote
27018,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Kimberly Wilburn,undervote,undervote
27019,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
27020,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Ash Patel,Kimberly Wilburn,undervote
27021,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Ash Patel,Kimberly Wilburn,Stacy Cranbrook
27022,MINNETONKA W-1 P-D,MINNETONKA W-1 P-D,Stacy Cranbrook,Daniel Kral,Jim Hadley
27023,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27024,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27025,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27026,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27027,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Ash Patel,Daniel Kral,undervote
27028,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27029,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27030,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Ash Patel,Daniel Kral,undervote
27031,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Ash Patel,undervote
27032,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Stacy Cranbrook,Kimberly Wilburn,Daniel Kral
27033,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Jim Hadley,undervote,undervote
27034,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Stacy Cranbrook,Daniel Kral,Jim Hadley
27035,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Daniel Kral,Jim Hadley
27036,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,undervote,undervote,undervote
27037,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Ash Patel,undervote
27038,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Ash Patel,undervote
27039,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Jim Hadley,Daniel Kral,Ash Patel
27040,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Stacy Cranbrook,undervote,undervote
27041,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Ash Patel,undervote
27042,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Ash Patel,undervote
27043,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27044,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27045,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Ash Patel,undervote
27046,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Jim Hadley,undervote,undervote
27047,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Jim Hadley,Daniel Kral,Kimberly Wilburn
27048,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,undervote,undervote,undervote
27049,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27050,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,undervote,undervote,undervote
27051,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Jim Hadley,undervote,undervote
27052,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Daniel Kral,Stacy Cranbrook,undervote
27053,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27054,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,undervote,undervote,undervote
27055,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Ash Patel,Stacy Cranbrook
27056,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27057,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Daniel Kral,Daniel Kral,Daniel Kral
27058,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Daniel Kral,Daniel Kral,Daniel Kral
27059,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Stacy Cranbrook,Daniel Kral,Jim Hadley
27060,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Daniel Kral,undervote,undervote
27061,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Stacy Cranbrook,Daniel Kral,Jim Hadley
27062,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27063,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Ash Patel,undervote
27064,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Stacy Cranbrook,Daniel Kral,Jim Hadley
27065,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Kimberly Wilburn,Ash Patel
27066,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,undervote,undervote,undervote
27067,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,overvote,Daniel Kral,Daniel Kral
27068,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,undervote,undervote,undervote
27069,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,undervote,undervote,undervote
27070,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Kimberly Wilburn,Ash Patel
27071,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Jim Hadley,Kimberly Wilburn,undervote
27072,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,undervote,undervote,undervote
27073,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27074,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,undervote,undervote
27075,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Ash Patel,Daniel Kral
27076,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Kimberly Wilburn,Ash Patel,Daniel Kral
27077,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Ash Patel,undervote,undervote
27078,MINNETONKA W-1 P-F,MINNETONKA W-1 P-F,Ash Patel,Daniel Kral,Jim Hadley
